"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Invasion of Ravnica","","M","959","1.38","652","1.38","4099","59.3%","674","54.9%","1075","60.9%","1749","58.6%","2283","59.4%","-0.8pp"
"Aerial Boost","W","C","53412","6.65","9563","8.41","40524","61.6%","6402","62.4%","8651","62.0%","15053","62.2%","25453","61.3%","0.8pp"
"Alabaster Host Intercessor","W","C","39995","4.28","5834","6.16","26820","58.3%","4534","56.5%","6329","59.3%","10863","58.1%","15914","58.3%","-0.2pp"
"Alabaster Host Sanctifier","W","C","47779","5.41","5455","7.84","23061","58.6%","4042","59.0%","4921","55.3%","8963","56.9%","14037","59.6%","-2.7pp"
"Angelic Intervention","W","C","47818","5.42","8017","7.27","39075","61.3%","6230","61.0%","8573","60.8%","14803","60.9%","24251","61.5%","-0.6pp"
"Archangel Elspeth","W","M","793","1.19","600","1.17","3248","60.0%","574","62.0%","746","67.2%","1320","64.9%","1925","56.4%","8.5pp"
"Attentive Skywarden","W","C","49799","6.01","3988","9.39","9737","56.9%","1655","55.5%","2149","55.2%","3804","55.4%","5914","57.9%","-2.5pp"
"Bola Slinger","W","C","48557","5.68","6866","7.82","30342","60.8%","4929","60.7%","6542","61.4%","11471","61.1%","18831","60.5%","0.6pp"
"Boon-Bringer Valkyrie","W","R","1757","1.34","1325","1.30","7897","62.4%","1343","65.8%","1848","70.4%","3191","68.5%","4716","58.3%","10.1pp"
"Cut Short","W","C","43206","4.82","4694","7.38","18592","59.4%","2941","58.2%","4434","60.3%","7375","59.5%","11206","59.4%","0.0pp"
"Dusk Legion Duelist","W","R","2715","2.22","853","2.36","4607","60.4%","846","62.8%","945","57.6%","1791","60.0%","2800","60.4%","-0.4pp"
"Elesh Norn","W","M","794","1.18","574","1.18","3168","59.5%","542","61.4%","737","64.2%","1279","63.0%","1870","56.9%","6.1pp"
"Elspeth's Smite","W","U","20245","3.92","2502","5.60","11366","59.7%","1927","60.1%","2581","60.4%","4508","60.2%","6841","59.3%","0.9pp"
"Enduring Bondwarden","W","C","52338","6.69","5668","9.73","15964","59.2%","2785","59.4%","3214","56.3%","5999","57.8%","9897","59.9%","-2.2pp"
