"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Banish from Edoras","W","C","132871","5.16","18005","7.54","64464","53.5%","10210","51.1%","17483","56.9%","27693","54.7%","36831","52.7%","2.0pp"
"The Battle of Bywater","W","R","8104","2.59","2519","2.80","10783","54.7%","1922","55.9%","2785","57.1%","4707","56.6%","6080","53.3%","3.4pp"
"Bill the Pony","W","U","33699","3.49","9121","4.21","42095","55.3%","6899","56.1%","11248","58.6%","18147","57.6%","23696","53.3%","4.3pp"
"Boromir, Warden of the Tower","W","R","6028","1.91","2777","2.00","14191","56.9%","2517","61.1%","3590","59.2%","6107","60.0%","7965","54.2%","5.7pp"
"Dawn of a New Age","W","M","3003","1.90","1354","1.92","6468","54.2%","1041","55.2%","1656","56.6%","2697","56.1%","3757","52.8%","3.3pp"
"Dúnedain Blade","W","C","162245","7.48","19423","10.77","32228","55.1%","5145","53.5%","7750","52.9%","12895","53.2%","19333","56.4%","-3.3pp"
"Eagles of the North","W","C","138474","5.30","22888","7.49","96977","55.1%","16955","53.6%","24541","56.6%","41496","55.4%","55327","54.8%","0.6pp"
"Eastfarthing Farmer","W","C","144400","5.91","19182","8.53","61226","54.6%","10401","54.9%","15298","57.6%","25699","56.5%","35393","53.2%","3.2pp"
"East-Mark Cavalier","W","C","148457","6.08","21036","8.66","74812","55.2%","13353","55.5%","17863","54.8%","31216","55.1%","43557","55.2%","-0.1pp"
"Éowyn, Lady of Rohan","W","U","28962","3.05","7263","3.74","36913","55.1%","6434","56.0%","9203","57.2%","15637","56.7%","21144","53.8%","2.9pp"
"Errand-Rider of Gondor","W","C","110089","4.09","25960","5.29","132814","56.2%","23254","57.1%","34068","58.5%","57322","57.9%","75254","54.9%","3.0pp"
"Escape from Orthanc","W","C","166864","7.85","22248","11.03","31719","55.2%","4792","53.8%","7682","56.5%","12474","55.5%","19233","55.1%","0.3pp"
"Esquire of the King","W","C","157245","6.90","20856","9.85","54408","55.0%","9412","55.9%","13152","53.7%","22564","54.7%","31795","55.2%","-0.5pp"
"Faramir, Field Commander","W","U","24497","2.63","7309","3.08","37236","53.6%","6300","52.4%","9890","55.6%","16190","54.3%","20878","52.8%","1.5pp"
"Flowering of the White Tree","W","R","5344","1.76","2891","1.73","14936","56.0%","2541","60.7%","3831","58.8%","6372","59.6%","8557","53.3%","6.2pp"
"Fog on the Barrow-Downs","W","C","130623","5.16","15573","7.58","54342","53.0%","8949","49.7%","13548","54.6%","22497","52.6%","31757","53.3%","-0.6pp"
"Forge Anew","W","R","18671","5.63","2298","8.70","212","","33","","61","","94","","118","",""
"Frodo, Sauron's Bane","W","R","6763","2.22","2609","2.34","12357","56.0%","2245","64.4%","3205","56.7%","5450","59.9%","6861","52.9%","6.9pp"
"Gandalf the White","W","M","2320","1.53","1256","1.52","5769","53.0%","940","51.4%","1527","54.2%","2467","53.1%","3245","52.5%","0.6pp"
"Hobbit's Sting","W","C","127977","5.00","20510","6.89","86687","54.7%","13839","53.5%","21847","56.8%","35686","55.5%","50945","54.1%","1.4pp"
